2025-07-15 09:08:37,817 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-07-15 09:08:39,633 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-07-15 09:08:51,091 - INFO - Phone migrated to 4
2025-07-15 09:08:51,267 - INFO - Reconnecting to new data center 4
2025-07-15 09:08:51,467 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-15 09:08:51,468 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-15 09:08:51,468 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 09:08:53,105 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 09:09:48,942 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:49,360 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:49,557 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:49,815 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:09:49,817 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2025-07-15 09:09:49,817 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
2025-07-15 09:10:46,269 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 09:10:46,453 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 09:10:47,864 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:49,025 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:49,334 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:49,540 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:49,964 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:50,301 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:50,616 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:50,858 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:51,220 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:51,486 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:51,877 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:52,285 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:52,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:53,043 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:53,478 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:53,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:54,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:54,692 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:54,986 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:55,308 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:55,533 - INFO - Successfully scraped 20 messages from @lobelia4cosmetics
2025-07-15 09:10:55,533 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2025-07-15 09:10:55,534 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
2025-07-15 09:10:55,547 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 09:10:55,716 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 09:10:57,376 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:58,709 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:10:59,663 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:11:00,144 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 09:11:00,607 - INFO - Successfully scraped 19 messages from @tikvahpharma
2025-07-15 09:11:00,607 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2025-07-15 09:11:00,607 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
2025-07-15 11:44:31,921 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 11:44:32,100 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 11:44:33,913 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:35,507 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:36,196 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:36,463 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:37,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:37,348 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:37,662 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:37,963 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:38,389 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:38,696 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:39,095 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:39,554 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:40,143 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:40,815 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:41,248 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:41,637 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:42,395 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:42,607 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:42,913 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:43,246 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:43,495 - INFO - Successfully scraped 20 messages from @lobelia4cosmetics
2025-07-15 11:44:43,495 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2025-07-15 11:44:43,496 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
2025-07-15 11:44:43,513 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-07-15 11:44:43,730 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-07-15 11:44:45,516 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:46,829 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-15 11:44:47,902 - INFO - Successfully scraped 20 messages from @tikvahpharma
2025-07-15 11:44:47,902 - INFO - Disconnecting from 149.154.167.91:443/TcpFull...
2025-07-15 11:44:47,902 - INFO - Disconnection from 149.154.167.91:443/TcpFull complete!
